#class tools::wcsv::ntuple
#title Data
#separator 44
#vector_separator 59
#column string name
#column double E
gamma,7.13031
gamma,2.06104
gamma,2.35107
gamma,4.14154
gamma,13.2586
gamma,1.16172
e-,0.000449464
e-,0.458595
gamma,2.04134
gamma,0.266146
e-,1.04392
gamma,0.227356
e-,0.00047882
e-,1.51859
gamma,0.249497
e-,0.0004939
e-,0.233547
gamma,6.73858
gamma,1.11469
gamma,1.83712
gamma,3.27249
gamma,7.15802
gamma,4.46182
e-,0.953435
gamma,6.87795
gamma,3.97537
gamma,3.85634
gamma,1.1797
gamma,1.96009
gamma,4.37548
gamma,4.88595
gamma,2.58213
gamma,0
e-,0.0518184
e+,2.02413
e-,4.60563
gamma,2.10374
gamma,1.48692
gamma,0.768976
gamma,3.96392
gamma,1.40739
gamma,2.02475
gamma,0.663207
gamma,3.27221
gamma,0.510999
gamma,1.39805
gamma,1.66842
gamma,6.17953
gamma,4.06942
gamma,2.97892
gamma,13.7266
gamma,0.240038
e-,0.802926
gamma,1.20752
gamma,0.447098
gamma,3.40066
gamma,0.669037
gamma,4.72437
gamma,2.19167
gamma,4.64189
gamma,2.04844
gamma,1.64236
gamma,1.15556
gamma,0.510999
gamma,2.13716
gamma,4.67919
gamma,4.02527
gamma,1.97143
gamma,9.60567
gamma,2.06814
gamma,6.32531
gamma,2.15156
gamma,4.49858
gamma,3.65603
gamma,4.42008
gamma,1.64117
gamma,1.97819
gamma,2.59222
gamma,5.29284
gamma,1.80805
gamma,1.46008
gamma,4.28125
gamma,0.713164
gamma,2.51326
gamma,1.46667
gamma,0.789951
gamma,3.34236
gamma,1.55102
gamma,4.66963
gamma,5.47659
gamma,2.59731
gamma,1.46336
e-,0.984221
gamma,11.82
gamma,2.72146
gamma,0.642058
e-,0.00049386
e-,2.12113
gamma,3.01782
gamma,0.955588
gamma,0.911667
gamma,2.50349
gamma,6.49103
gamma,1.30699
gamma,0.871829
gamma,1.14403
gamma,3.65481
neutron,0.0271839
proton,0
gamma,0.216338
e-,0.00540724
gamma,15.4458
gamma,2.66839
e-,1.25598
gamma,4.23756
gamma,4.12312
gamma,2.50505
gamma,1.93447
gamma,3.70861
gamma,2.20321
gamma,7.79051
gamma,4.46742
gamma,0.939905
gamma,0.900686
gamma,3.16698
gamma,1.29971
gamma,8.1575
gamma,1.22065
gamma,6.67739
gamma,1.06156
e-,1.28387
gamma,4.40715
gamma,1.39347
gamma,6.99231
gamma,1.81169
e-,1.2983
gamma,3.74974
gamma,0.682733
neutron,0.12312
gamma,0.762724
gamma,0.426825
gamma,1.61792
gamma,9.75055
gamma,8.77984
gamma,4.16768
gamma,3.21557
gamma,2.88648
gamma,1.91799
gamma,2.00634
gamma,3.98575
gamma,3.62837
gamma,1.77944
gamma,1.78435
gamma,2.40987
gamma,1.02438
gamma,1.02693
gamma,7.23893
gamma,8.68098
gamma,5.57369
gamma,2.83161
gamma,3.76155
gamma,3.26235
gamma,1.63409
gamma,0.232711
gamma,1.28604
gamma,2.62625
gamma,3.66804
nu_e,0.185495
gamma,2.36248
gamma,1.40987
gamma,2.93556
gamma,1.59346
gamma,2.33391
gamma,0.868608
gamma,0.401939
gamma,2.42188
gamma,0.510999
gamma,9.35166
gamma,0.852656
gamma,8.74512
gamma,0.218484
gamma,0.229807
e-,1.09918
gamma,1.36461
gamma,4.63676
gamma,1.86003
gamma,0.392662
gamma,2.60353
gamma,0
O16,0
e+,0.680031
e-,3.47177
gamma,2.216
gamma,0.88687
gamma,1.91912
e-,0.954923
gamma,4.93785
gamma,2.09289
gamma,4.42678
gamma,4.47514
gamma,2.51826
gamma,3.67523
gamma,3.24309
gamma,4.43061
gamma,1.22011
gamma,2.92609
gamma,8.28858
gamma,3.34952
gamma,2.80207
gamma,1.51822
gamma,2.78221
e-,0.802087
gamma,2.53865
gamma,1.87625
gamma,2.15082
gamma,1.78017
