name,x,y,z,vx,vy,vz,E
gamma,-1.77076,-1.34851,42.0,-0.0466256,-0.0510425,1.38755,1.38927
gamma,2.65985,-0.66566,42.0,0.174744,-0.0712297,0.863052,0.883441
gamma,-2.51096,1.32561,42.0,-0.407316,0.155392,4.00128,0.941699
gamma,-0.15901,-0.529393,42.0,-0.0444877,-0.119597,0.944929,0.209191
gamma,0.377808,0.635159,42.0,0.00280019,0.039712,1.79436,1.79481
gamma,-0.732804,1.0358,42.0,-0.00532753,0.0130692,0.703525,0.517942
gamma,1.47067,1.92139,42.0,0.099205,0.132459,2.88034,1.70886
gamma,-1.27009,-1.9084,42.0,-0.00197542,-0.0446197,0.697232,0.374628
gamma,-2.95105,-1.15357,42.0,-0.214711,-0.143805,1.31281,0.317769
gamma,-0.585349,-1.65849,42.0,-0.121682,-0.335755,4.47668,1.24737
gamma,2.96946,0.702855,42.0,0.0340867,0.0224333,0.184965,0.154381
gamma,0.674642,-1.18965,42.0,-0.0208507,-0.0835878,1.09812,0.314331
gamma,-1.72115,0.703486,42.0,-0.100825,0.0382898,3.31979,1.24498
gamma,-0.107287,-0.696042,42.0,-0.0183058,-0.058913,0.305204,0.263957
gamma,-0.707974,-1.30126,42.0,-0.124142,-0.209276,5.85233,5.85739
gamma,-1.4803,-0.0729911,42.0,-0.229246,-0.0557831,7.30519,7.30899
gamma,-0.572822,-1.58854,42.0,-0.0106413,-0.033357,0.170131,0.130833
gamma,-2.16134,-0.983577,42.0,-0.283195,-0.157539,4.84204,4.85287
gamma,-0.0592656,0.673311,42.0,0.00011917,-0.0255105,2.05965,0.672122
gamma,-0.175545,0.102526,42.0,-0.0631811,0.0724209,10.7028,10.7032
gamma,-1.76922,1.96786,42.0,-0.0662549,0.0737179,1.96718,0.706042
gamma,0.610049,-0.622875,42.0,0.0654596,-0.0479895,4.04668,0.375664
gamma,-1.96108,1.2498,42.0,-0.126227,-0.00192612,0.780207,0.212789
gamma,3.00695,-0.483116,42.0,0.237863,-0.0896909,1.36763,0.484935
gamma,1.931,1.87867,42.0,0.0834181,0.158203,1.35114,0.345
gamma,1.82303,-0.664253,42.0,0.0190441,0.00971436,0.147952,0.0956733
gamma,-0.156786,0.200031,42.0,-0.04777,0.0649245,0.632897,0.238582
gamma,-2.65817,-0.291342,42.0,-0.039696,-0.0436373,0.24955,0.231196
gamma,-0.0132871,-1.11632,42.0,0.0307859,-0.102633,3.95125,3.9527
gamma,1.2784,-0.961557,42.0,0.0370922,-0.00535997,1.81869,0.264156
gamma,2.75311,-3.07554,42.0,0.608288,-1.74018,2.99684,0.262848
gamma,-2.12249,1.59221,42.0,-0.187487,0.16884,3.45469,3.46389
gamma,0.011392,1.66574,42.0,0.0156025,0.188455,4.22975,4.23397
gamma,-1.99787,-1.39803,42.0,-0.119435,-0.0786341,1.53061,1.00096
gamma,2.21544,2.03468,42.0,0.0894254,0.147418,1.11525,0.379569
gamma,-1.79469,-0.0691467,42.0,-0.946987,0.865718,2.68724,2.97783
gamma,-1.38846,-0.572507,42.0,-0.163187,-0.0385846,5.32563,0.0
gamma,-1.34136,-1.87998,42.0,-0.0310617,-0.0511613,0.352019,0.30107
gamma,1.11187,1.47031,42.0,0.135706,0.190494,5.11815,0.479323
gamma,-0.373968,-0.13273,42.0,-0.0169506,-0.134005,1.32654,0.516751
gamma,0.509304,-0.880487,42.0,0.0886647,-0.0789133,4.84806,4.84952
gamma,0.0863465,-0.960308,42.0,0.0224267,-0.0455157,2.7835,2.78396
gamma,-1.48889,1.20582,42.0,-0.124412,0.0950925,2.79046,0.346609
gamma,-0.0103788,0.918408,42.0,0.0351427,0.0374424,0.643836,0.253158
gamma,-1.52206,-1.04788,42.0,-0.226811,-0.082951,5.13622,5.1419
gamma,0.909108,1.53165,42.0,0.105487,0.117561,3.52536,3.52889
gamma,1.69668,-0.292018,42.0,0.227299,-0.000140661,7.67365,5.05663
gamma,-1.59233,-1.39526,42.0,-0.115532,-0.0600391,1.48213,1.48784
gamma,0.0816736,-0.0603122,42.0,-0.0416274,0.112109,0.81199,0.264953
gamma,-0.0719576,-1.37374,42.0,-0.0583624,-0.236485,5.33783,5.34338
gamma,0.408083,-1.33457,42.0,0.0349434,-0.0697773,2.09445,1.46691
gamma,-1.28357,0.77898,42.0,-0.0971058,0.0584739,2.57928,2.32974
gamma,-0.205501,-1.32934,42.0,0.057579,-0.115879,2.57687,2.58011
gamma,0.349261,1.54934,42.0,-0.170741,0.168293,3.84303,1.46846
gamma,0.626124,-0.768476,42.0,0.42711,0.220818,0.750364,0.554604
gamma,-2.08413,-1.25081,42.0,-0.4632,-0.142747,7.52788,6.02967
gamma,1.26536,0.896122,42.0,0.073604,0.066352,2.77277,2.77454
gamma,-0.645102,1.4382,42.0,-0.0235536,0.10371,3.48748,1.26765
gamma,-1.80308,0.770203,42.0,0.0336747,0.132582,0.390145,0.258224
gamma,-1.8539,-0.574104,42.0,-0.100127,-0.0551089,2.34023,2.34302
gamma,0.758443,1.46226,42.0,0.0166294,0.0990213,2.14682,0.951834
gamma,0.97253,-1.90211,42.0,0.171401,-0.268178,5.24358,5.25323
gamma,3.31791,0.678704,42.0,0.118397,0.200639,0.334547,0.231074
gamma,-0.906503,-0.178684,42.0,-0.0588657,-0.0288314,3.05487,3.05557
gamma,-1.78615,-0.780888,42.0,-0.0790747,-0.0534725,2.02837,2.03062
gamma,-1.13855,-0.62792,42.0,-0.194863,-0.20813,4.61518,2.4894
gamma,1.28025,1.30551,42.0,0.108039,0.0772351,2.20141,0.418641
gamma,-0.0899759,1.17451,42.0,-0.0860262,0.184378,10.9661,10.968
gamma,-1.21849,0.405453,42.0,-0.0517271,0.0289356,1.70979,1.29039
gamma,-2.41386,-0.475862,42.0,-0.123759,-0.0481001,1.59075,0.917216
gamma,-1.99139,1.30533,42.0,-0.102184,0.0985367,1.99351,1.53004
gamma,0.618684,-1.53144,42.0,-0.0263058,-0.0234338,0.787002,0.738371
gamma,-1.58595,0.466327,42.0,-0.0822678,0.0226759,2.44995,2.45144
gamma,-4.04912,-1.43877,42.0,-0.044604,-0.0043729,0.14812,0.133486
gamma,-1.81544,-0.660906,42.0,-0.0715578,-0.0198978,1.98848,0.259369
gamma,-0.25259,-0.809506,42.0,-0.0121473,-0.0488146,2.60447,2.60496
gamma,-0.581478,-0.20811,42.0,-0.0849949,-0.0449793,3.34825,1.49438
gamma,-0.698633,0.191344,42.0,-0.0938757,0.0731853,5.19835,5.19971
gamma,0.992048,-0.664966,42.0,0.0717958,-0.129632,5.7091,5.71102
gamma,-0.230521,-1.21296,42.0,0.288857,0.375031,0.329819,0.576947
gamma,1.45513,-1.01023,42.0,0.12536,-0.124845,1.69087,0.567529
gamma,-1.67064,0.062955,42.0,-0.0922578,0.0468148,1.36655,0.214669
gamma,-1.57258,1.31591,42.0,-0.048847,0.0618321,1.50598,1.50804
gamma,1.47734,0.148515,42.0,0.0331641,0.0200828,2.28788,2.28821
gamma,0.928282,0.735039,42.0,0.011514,-0.00568061,1.46482,1.46123
gamma,-0.0347452,2.15394,42.0,-0.0533046,0.224655,0.45586,0.402928
gamma,0.00874554,-0.382549,42.0,-0.019058,-0.0686116,0.359498,0.262619
gamma,1.95012,-0.308898,42.0,0.157932,-0.181585,2.59903,2.61015
gamma,1.38121,-1.32703,42.0,0.0852484,-0.134919,3.61505,0.607613
gamma,-0.81051,-0.933965,42.0,-0.137599,-0.110448,4.43599,0.0
gamma,-4.40032,2.43974,42.0,-0.477133,0.347407,0.641445,0.218945
gamma,0.960622,0.173301,42.0,0.0865307,-0.00260804,2.68182,2.40353
gamma,-1.21831,-1.26959,42.0,-0.116582,-0.213256,5.26497,5.27058
gamma,-0.515333,-0.381802,42.0,-0.0734788,0.0751859,1.68613,0.648942
gamma,2.48221,-0.61186,42.0,0.223956,-0.0694689,2.12678,0.918346
gamma,-0.684551,-0.0217442,42.0,-0.0715897,-0.0333961,3.10153,3.10254
gamma,0.202384,-1.43005,42.0,-0.0033236,-0.0825199,2.48779,2.48917
gamma,1.20131,-0.773154,42.0,0.0930498,-0.0395772,3.21284,3.21443
gamma,-1.89882,-0.126786,42.0,-0.104911,-0.0450419,1.34679,1.29081
gamma,-1.2446,0.347895,42.0,-0.0112544,0.0233868,0.420121,0.361781
gamma,1.27594,0.469685,42.0,0.167574,0.072257,4.83409,0.654104
gamma,0.459337,-1.81575,42.0,0.0264252,-0.189093,3.51094,3.3244
gamma,0.681241,-0.162123,42.0,0.0939367,-0.0219738,2.84013,2.07427
gamma,-0.106012,0.679612,42.0,-0.0130847,0.0120091,2.5873,2.58736
gamma,-0.921366,0.10978,42.0,-0.182946,0.0752036,6.39743,5.46911
gamma,-0.0749413,0.0127561,42.0,-0.00260435,-0.114018,0.821862,0.352827
gamma,1.03322,-2.05485,42.0,0.191722,-0.32748,5.78643,5.79885
gamma,-0.0590132,0.134815,42.0,0.0129511,-0.0317114,0.370202,0.359667
gamma,-1.22441,1.67803,42.0,-0.110477,0.163052,4.47453,4.39415
gamma,-0.399636,1.23405,42.0,-0.066322,0.121084,2.81985,0.63168
gamma,0.894036,1.5745,42.0,0.0391756,0.10519,3.38879,1.27971
gamma,0.816383,-1.04976,42.0,0.150453,-0.206555,6.55008,1.32872
gamma,-0.642947,0.290942,42.0,-0.0722948,0.0479753,2.89846,2.47965
gamma,-1.85008,0.455415,42.0,-0.189662,0.092142,4.90802,0.52986
gamma,-3.34233,-1.95277,42.0,-0.104119,-0.0417899,0.426251,0.171925
gamma,-0.140977,-0.846092,42.0,-0.0229975,-0.048744,3.34462,3.34506
gamma,1.47456,-0.180648,42.0,0.143995,-0.0294378,4.42592,2.50481
gamma,-3.05375,1.57063,42.0,-0.0903729,0.0844871,0.098125,0.156026
gamma,1.69963,-1.52199,42.0,0.177116,-0.159944,3.33879,0.241747
gamma,-0.0477333,-0.629675,42.0,-0.0145876,-0.000314051,1.92867,1.2199
gamma,-0.647056,0.11509,42.0,0.0281112,-0.0612164,0.984332,0.704167
gamma,-1.04326,1.51903,42.0,-0.0521745,0.0473268,2.29019,0.25783
gamma,-1.49007,0.942194,42.0,-0.117816,0.0375503,2.9195,2.92212
gamma,0.386339,1.06338,42.0,0.0339475,0.0283326,1.77008,0.262408
gamma,0.351963,0.0482998,42.0,0.0494279,-0.00403812,2.93527,0.713327
gamma,0.651351,0.955761,42.0,0.0520037,0.0491285,3.33686,1.1048
gamma,-0.13387,0.323574,42.0,-0.0329955,-0.00100242,2.59179,2.57413
gamma,-0.0701519,-0.30459,42.0,0.0561888,0.0304489,2.61185,0.882486
gamma,1.94079,0.828185,42.0,0.15976,0.0851261,2.7792,2.78509
gamma,0.0417622,-0.739056,42.0,-0.0325226,0.0118196,4.19606,4.1962
gamma,1.4609,-0.151763,42.0,0.201647,-0.072511,7.37407,7.37718
gamma,2.92494,0.00131253,42.0,-0.275908,0.0710107,2.32096,0.650119
gamma,0.633434,2.29251,42.0,0.0668778,0.300997,2.28522,2.30593
gamma,-0.593111,-1.11944,42.0,-0.0380599,-0.0481095,2.07249,2.06012
gamma,2.31622,1.64612,42.0,0.255886,0.0436419,2.59166,2.60463
gamma,1.02556,0.432147,42.0,0.170412,0.0408749,7.85278,7.85473
gamma,-1.8239,1.35208,42.0,-0.0783418,0.0140649,1.55134,1.52957
gamma,-3.32017,-1.40202,42.0,-0.0688827,-0.0566809,0.394099,0.290076
gamma,-2.23389,-0.524983,42.0,-0.573739,0.641564,2.13666,0.45312
gamma,1.20212,0.843837,42.0,0.141561,0.0713429,4.06815,0.792571
gamma,2.01367,2.04343,42.0,-0.396116,0.199495,1.92448,1.97492
gamma,-0.60877,0.720691,42.0,-0.0310352,0.0352459,2.28332,2.2838
