name,x,y,z,vx,vy,vz,E
e-,1.19421,-2.40912,59.8708,0.684751,-0.0962499,1.11682,0.84878
e-,1.80624,0.963577,56.1236,0.34802,-0.565427,0.852999,0.653348
e-,0.0494667,1.2742,50.1448,0.202673,-0.0355751,1.60494,1.11215
e-,2.08543,1.33983,61.0333,-0.513569,0.607022,1.04676,0.863386
e-,-3.07804,0.660552,61.9037,0.809344,0.117269,2.13106,1.25958
e-,-3.06056,0.66286,61.9497,0.66782,-0.340229,0.42639,0.470158
e-,3.18279,-0.405781,56.1074,0.396277,-0.658285,1.35544,1.07909
e-,2.12366,-0.579545,47.2544,0.0859538,-0.20508,0.140663,0.0619209
e-,-1.90773,-4.7317,47.6919,-0.213363,-0.0501347,0.454704,0.200476
e-,-2.73194,1.40992,44.1708,-1.10111,0.257789,3.37322,2.91099
e-,-0.253591,-0.783658,44.0089,-0.00905097,-0.00800021,-0.0189495,0.000493556
e-,-0.253591,-0.783658,44.0089,-0.0402563,-0.0620263,1.14362,0.710807
e-,-0.746213,1.06869,43.7708,0.294504,0.188013,0.319658,0.179646
e-,1.53212,2.00344,43.7842,0.76654,0.442621,1.34242,1.11925
e-,-1.28088,-2.15231,45.8113,0.185525,-0.329892,0.541191,0.309499
e-,-4.75676,-2.36296,53.0407,0.0146956,-0.0102091,-0.014148,0.000481676
e-,-4.75676,-2.36296,53.0407,-0.321929,-0.450732,1.33233,0.963018
e-,-1.03473,-2.89846,58.5328,-0.777841,-0.829609,3.54147,3.01794
e-,3.68578,1.17428,45.887,0.00845251,-0.124181,0.146705,0.0321761
e-,0.669336,-1.21092,42.2794,0.177251,0.14956,1.17059,0.75184
e-,-2.08124,0.840238,53.8566,0.766604,0.0366761,2.41768,1.96034
e-,-0.297801,-1.30916,45.1763,-0.192497,0.00380298,0.116659,0.0465766
e-,-0.694007,-1.96841,43.9375,0.120544,-0.0366248,0.172498,0.0411601
e-,-0.0577977,0.359091,67.3693,-0.119412,-0.595949,1.72465,1.29996
e-,-1.89212,2.10461,45.649,0.51442,0.256802,1.59925,1.19146
e-,0.696977,-0.686603,47.3739,-0.0453966,-0.395831,4.13232,3.37395
e-,-2.43141,1.24262,44.9071,-0.131818,0.131812,0.942888,0.551998
e-,3.55574,-0.690048,45.1553,-0.227983,0.0325324,1.30154,0.854219
e-,1.95415,1.92258,42.375,0.381656,0.330697,1.34958,0.963578
e-,1.97204,-0.588241,43.1577,-0.0101677,0.0362851,0.237612,0.052015
e-,-0.353885,0.467909,44.6113,-0.235988,0.214652,0.682616,0.384709
e-,-3.45406,-1.16625,47.0034,0.0196124,0.00395028,0.00945153,0.000473636
e-,-3.45406,-1.16625,47.0034,0.110656,-0.0859405,0.0788469,0.0238585
e-,1.50422,-0.994189,53.0724,-0.14675,0.0707517,1.99507,1.45715
e-,-2.23796,-1.5561,45.0768,0.0795044,-0.59332,0.690925,0.517286
e-,2.9704,3.27923,51.4153,0.465038,0.121023,1.0466,0.694614
e-,-1.42067,-0.565297,42.2336,0.317368,-0.192019,0.485277,0.269655
e-,-1.39352,-0.573702,42.165,-0.259061,0.374823,0.210354,0.198497
e-,-2.6526,-4.0397,56.8601,-0.181151,-0.12887,0.104548,0.0530287
e-,1.35183,1.80716,51.0504,-0.00848717,-0.266623,5.12283,4.36785
e-,-0.55187,-1.53915,55.9224,-0.454814,0.0706484,1.13563,0.765566
e-,-1.84988,1.48174,50.0967,0.106122,-0.15108,2.90892,2.21742
e-,0.00214815,0.931754,42.2295,-0.0609022,-0.183605,0.719805,0.368138
e-,1.7899,-0.292075,45.1473,0.0111556,-0.00934951,-0.016665,0.000471511
e-,1.7899,-0.292075,45.1473,1.2225,0.670631,2.75624,2.45495
e-,-0.00626802,0.176528,43.7154,-0.171234,0.34338,0.854189,0.526193
e-,0.696971,-1.91144,59.3155,-0.589649,0.225814,0.799834,0.600145
e-,-2.07754,1.25708,63.0891,0.344085,0.330579,0.305566,0.233358
e-,0.00707057,1.88662,49.702,-0.0142396,0.0161796,-0.00747319,0.000480546
e-,0.00707057,1.88662,49.702,-0.771058,0.739765,2.63887,2.24244
e-,-3.45279,-1.6726,64.2433,-0.0661332,-1.13508,1.59555,1.40848
e-,-0.65467,1.48033,43.4167,0.0200399,-0.00937337,0.000354662,0.000437065
e-,-0.65467,1.48033,43.4167,-0.290481,0.851836,2.52829,2.09473
e-,-1.57832,1.6551,44.604,-0.167208,0.262872,0.29263,0.150514
e-,0.774632,1.55866,44.0899,-0.318995,-0.521505,1.51112,1.13781
e-,4.66201,2.95644,45.7979,0.311296,0.257048,0.220564,0.170195
e-,-1.24345,-0.739961,44.4845,-1.09112,0.270475,2.33969,1.99105
e-,1.65856,1.57596,49.7083,0.250435,0.47009,2.17597,1.64873
e-,-1.65736,0.650954,56.5065,-0.237716,-0.498903,0.548642,0.346148
e-,-2.94457,-0.682128,48.8216,-0.599597,0.240764,0.858849,0.630484
e-,-2.20709,1.51333,46.208,-0.000701702,0.000232291,-0.0224602,0.00047351
e-,-2.20709,1.51333,46.208,0.311815,0.518427,0.575562,0.449052
e-,0.4747,-1.65971,46.3076,-0.00700036,0.215444,0.0803155,0.0481017
